video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=YJrKgBUDGYc&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@BBCWhatsNew,BBC What’s New / Actu Jeunes,What is Global Warming? - BBC What's New,56K,7 years,Global warming is a huge issue that affects every single one of us. Experts say it's extremely likely that human activity is the main ...,2026-01-21 08:44:49.939410
/watch?v=WGgDw9I9mr0&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@60minutes,60 Minutes,Climate Change | 60 Minutes Marathon,1.5M,1 year,"From 2006, Scott Pelley's report on the evidence of Global Warming in the arctic. Also from 2006, Pelley's report on government ...",2026-01-21 08:44:49.942902
/watch?v=d7Ci_EooW-k&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@Letstute,Let'stute,Greenhouse Effect and Global Warming | Environmental Science | LetsTute,2.1M,7 years,"Hello Friends! Check out our video on ""Greenhouse Effect and Global Warming” by Letstute. Greenhouse Effect and Global ...",2026-01-21 08:44:49.947222
/watch?v=N6t6QHQtdVw&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@Peekaboo_Kidz,Peekaboo Kidz,Climate Change 101 | Keep The Environment Safe | The Dr Binocs Show | Peekaboo Kidz,2.8M,3 years,Climate | How To Keep The Environment Safe? | Global Warming | Climate Change | What Causes Global Warming?,2026-01-21 08:44:49.949929
/watch?v=Y1mPWVzaGQY&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@crashcourse,CrashCourse,What is Climate Change?: Crash Course Biology #8,219K,2 years,Life on Earth has weathered boiling-hot oceans and volcanic-ash-darkened skies—but that's nothing like the climate change ...,2026-01-21 08:44:49.951894
/watch?v=dpvd9FensT8&pp=ygUOZ2xvYmFsIHdhcm1pbmfSBwkJhwoBhyohjO8%3D,/@astrumspace,Astrum,This Will Be My Most Disliked Video On YouTube,4M,2 years,"#climatechange #astrum #globalwarming climate change, global warming, Earths temperature, climate cycles, Foraminifera, ...",2026-01-21 08:44:49.953352
/watch?v=rqWzK_DehcY&pp=ygUOZ2xvYmFsIHdhcm1pbmfSBwkJhwoBhyohjO8%3D,/@Cognitoedu,Cognito,GCSE Biology - Global Warming | Greenhouse Effect Explained (2026/27 exams),18K,8 months,Check out our website https://www.cognito.org/ ⭐️ *** WHAT'S COVERED *** 1. The distinction between global warming and ...,2026-01-21 08:44:49.957517
/watch?v=GGtAilkWTtI&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@SimonClark,Simon Clark,Global Warming: An Inconvenient History,1.2M,3 years,"This is the story of how we discovered the planet was warming, and why. Learn the building blocks of climate science with ...",2026-01-21 08:44:49.959612
/watch?v=PwgqVoFhVNM&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@aljazeeraenglish,Al Jazeera English,Inside the planet’s race to adapt | Global Warning E2 | Featured Documentary,269K,3 months,"With global access, this three-part series examines the real consequences of climate change for our civilisation, through the rest of ...",2026-01-21 08:44:49.961116
/watch?v=6S2gPoQ8ROE&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@ClimateAdam,ClimateAdam,Why Has Global Warming Just Spiked?,59K,8 months,Climate scientists weren't expecting 2023. The planet's temperature is increasing thanks to that whole burning fossil fuels thing.,2026-01-21 08:44:49.964189
/watch?v=nWPlf9ZpHBI&pp=ygUOZ2xvYmFsIHdhcm1pbmfSBwkJhwoBhyohjO8%3D,/@Toppscholars,Toppscholars,"Understand Global Warming & Climate Change | Greenhouse Effect | Causes, Effects, and Solutions",59K,2 years,"Understand Global Warming & Climate Change | Greenhouse Effect | Causes, Effects, and Solutions
| Greenhouse Effect and Global ...",2026-01-21 08:44:49.966762
/watch?v=4Uy9b87cYRs&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@fuseschool,FuseSchool - Global Education,How Does Global Warming Effect The Environment | Environmental Chemistry | Chemistry | FuseSchool,115K,5 years,How Does Global Warming Effect The Environment? Learn the basics about the effect of global warming on the environment.,2026-01-21 08:44:49.968775
/watch?v=dIsjcG7hTmo&pp=ygUOZ2xvYmFsIHdhcm1pbmfSBwkJhwoBhyohjO8%3D,/@bbcearth,BBC Earth,When The World Gets 1℃ Hotter | Climate Change: The Facts | BBC Earth,487K,4 years,"From the moment we wake up to when we go to sleep we are all using energy, this emissions from this constant generation of ...",2026-01-21 08:44:49.969951
/watch?v=WkvPdUtYhX8&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@LearnBright,Learn Bright,Climate Change for Kids | A fun engaging introduction to climate change for kids,776K,4 years,Hey Teachers and Parents! In this video we explore climate change for kids. We learn all about the causes of climate change like ...,2026-01-21 08:44:49.971672
/watch?v=_LwH6O4jaXY&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@byjusclasses,BYJU'S,What Is Global Warming? | Class 7 - Geography | Learn With BYJU'S,720K,4 years,Climate change and global warming are taking a toll on Earth and its inhabitants. We know that humans are responsible for this.,2026-01-21 08:44:49.972958
/watch?v=8DiWzvE52ZY&list=RD8DiWzvE52ZY&start_radio=1&pp=ygUOZ2xvYmFsIHdhcm1pbmegBwE%3D,/channel/UC34wpCgr3l9cG0RtFdTTS-Q,Gojira,Gojira - Global Warming [Live at the Silver Cord Studio May 2018],9.5M,7 years,"A few weeks ago, we played Global Warming together for the first time since the recording of From Mars To Sirius (2004).",2026-01-21 08:44:49.974255
/watch?v=sDS1sFg6lNw&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@NDTV,NDTV,"Climate Change and Global Warming, EXPLAINED | The Climate Explainers",392K,2 years,"In this episode of The Climate Explainers, Anubha Bhonsle explains the difference between climate change & global warming, ...",2026-01-21 08:44:49.975533
/watch?v=pwvVephTIHU&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@bostonglobe,The Boston Globe,Global warming:  why you should not worry,962K,15 years,(Boston Globe) An MIT scientist explains the potential dangers SUBSCRIBE TO OUR CHANNEL FOR MORE VIDEOS.,2026-01-21 08:45:00.383423
/watch?v=WxPqrmDwVdU&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@NakedScience,Naked Science,Earth on Fire? How BRUTAL Is Global Warming?,7.7K,3 weeks,"We explore the urgent effects of climate change on our environment, from rising temperatures and extreme weather to melting ice ...",2026-01-21 08:45:00.384860
/shorts/adWMjnuD2NU,/@KyanaSue,Kyana Sue Powers,"Global warming is not political, it’s science 🥵 #iceland #globalwarming #climatechange",167K,8 months,Ice caves melt away every year and new ones form but the glacier is melting at speeds much faster than they used to. We are ...,2026-01-21 08:45:00.386207
